"Nom de l'offre d'activité touristique","Type détaillé d'activité","Adresse partie 1: Porte/escalier","Adresse partie 1 suite","Adresse partie 2","Adresse partie 3","Code postal","Commune de l'activité","Cedex de l'adresse postale","Code Insee de la Commune","location","Latitude","Longitude","Situation de l'offre","Emplacement géographique","N° de téléphone mobile","N° de téléphone fixe","N° de fax","Adresse e-Mail","Url du site web","Type de plateforme/url","Services proposés sur l'équipement de loisir","Equipements présents sur le site de loisir","Animal accepté: oui / non","Complément information animal accepté","Labels","Label tourisme handicap","Groupe accepté: oui / non","Catégorie de la prestation fournie","Type formule itinérante","Activité sportive proposée","Type activité culturelle proposée","Langues parlées à l'accueil","Langues des audio guides","Visites libres proposées aux individuels en permanence: oui / non","Durée de visite pour les individuels","Visites guidées proposées aux individuels en permanence: oui / non","Visites guidées proposées aux individuels sur demande: oui / non","Langues des panneaux d'info","Langues parlées","Complément d'info sur les visites","Visites guidées proposées aux groupes en permanence: oui / non","Visites pédagogiques proposées aux groupes en permanence: oui / non","Visites guidées proposées aux groupes en permanence: oui / non","Visites guidées proposées aux groupes sur demande: oui / non","Durée de visite pour les groupes","Lieux de pratique de l'activité de loisirs","Commune de départ de la formule itinérante","Commune d'arrivée de la formule itinérante","Ouverture de l'offre toute l'année: oui / non","Horaires d'ouvertures","ResaDirecte","Centrale de réservation en ligne: oui / non","Nom centrale de réservation en ligne: url réservation en ligne / téléphone centrale / mail centrale","Tarifs","Tarif gratuit : oui / non","Modes de paiement acceptés"
"FUN CLUB LA JOSELIERE","Base ou club nautique","","","Plage de la Joselière","","44210","PORNIC","","44131","[ 47.10283 , -2.0829]","47.10283","-2.0829","","","06 80 64 55 22","06 85 57 26 63","","seon.funclub@gmail.com","http://www.funclubjoseliere.com","","","","non","","","","","","","","","","","","","","","","","","","","","","","","","","","02/06/2018||29/06/2018||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||##30/06/2018||02/09/2018||||||10:00||||||19:00||10:00||||||19:00||10:00||||||19:00||10:00||||||19:00||10:00||||||19:00||10:00||||||19:00||10:00||||||19:00##03/09/2018||30/09/2018||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||","","","","","","Chèques bancaires et postaux##Chèques Vacances"
"FUN LASER 85","Bar à thème##Bowling##Complexe de loisirs##Lasergame","","Zone de la Tibourgère","24 avenue du Bocage","","85500","LES HERBIERS","","85109","[ 46.8811025 , -1.0205599]","46.8811025","-1.0205599","||||12##Gare SNCF||||27##Autoroute||Sortie N°29 Les Herbiers||6","","","02 51 66 43 56","","funbowling85lesherbiers@orange.fr","http://www.funbowling85lesherbiers.fr","","Espace jeux","Bar##Restaurant##Toilettes","non","","","","oui","","","","","Anglais##Français","","","","","","","","","","","","","","","","","oui","01/01/2017||31/12/2017||du mardi au dimanche||lundi||||||||||||||17:00||00:00||||||14:00||00:00||||||17:00||00:00||||||14:00||02:00||||||14:00||03:30||||||14:00||20:00##01/01/2018||31/12/2018||Pendant les vacances scolaires ouvert tous les jours à partir de 14h||Fermé le Lundi||||||||||||||17:00||00:00||||||14:00||00:00||||||17:00||00:00||||||14:00||02:00||||||14:00||03:30||||||14:00||20:00","","","","Tarif indiv. adulte||||||Offre toute l'année sur www.funbowling85lesherbiers.fr##Tarif indiv. adulte||5||8||Mardi au Vendredi : 7€ la aprtie de 20min, 5€ la 2ème partie.;Samedi et Dimanche + jours fériés : 8€ la partie de 20min, 6€ la 2ème partie.;Promo du vendredi soir : 9€ les 30 min.;","","Cartes bancaires##Chèques bancaires et postaux##Chèques Vacances##Tickets Restaurant"
"FUNBOWLING 85","Bowling##Lasergame##Salle de billard","","","24 avenue du Bocage","","85500","LES HERBIERS","","85109","[ 46.8808806 , -1.0162204]","46.8808806","-1.0162204","||||12##Gare SNCF||Cholet||27##Autoroute||Sortie N° 29 Les Herbiers||6","","","02 51 66 43 56","","funbowling85lesherbiers@orange.fr","http://www.funbowling85lesherbiers.fr","","Espace jeux##WiFi","Bar##Restaurant##Salle de réunion équipée##Toilettes","non","","","","oui","","","","","Anglais##Français","","oui","","","","Français","","","oui","","","","","","","","oui","01/01/2017||31/12/2017||du mardi au dimanche||lundi||||||||||||||17:00||00:00||||||14:00||00:00||||||17:00||00:00||||||14:00||02:00||||||14:00||03:30||||||14:00||20:00##01/01/2018||31/12/2018||Pendant les vacances scolaires, ouvert tous les jours à partir de 14h||Fermé le Lundi||||||||||17:00||||||00:00||14:00||||||00:00||17:00||||||00:00||14:00||||||02:00||14:00||||||03:30||14:00||||||20:00","","","","Tarif indiv. adulte||||||Hors vacances scolaires différentes offres visibles sur www.funbowling85lesherbiers.fr##Tarif indiv. adulte||5||6||Du Mardi au Vendredi : 5€/partie;Samedi et Dimanche : 6€/partie;Location de chaussures : 2€;Voir offres sur internet hors vacances scolaires.","non","Cartes bancaires##Chèques bancaires et postaux##Chèques Vacances##Tickets Restaurant"
"FUNGLISSE DÉCOUVERTE ""ÉCOLE DE GLISSE""","Base de paddle##Base ou club nautique##Wakepark","","","Boulevard de la Mer","Le Cormier","44770","LA PLAINE-SUR-MER","","44126","[ 47.16048 , -2.17273]","47.16048","-2.17273","","","06 74 88 00 10","02 40 21 27 77","","contact@funglisse.com","http://www.funglisse.com","","","Aire de pique nique##Bar##Salle de projection","oui","","","","oui","","","","","","","","","","","","","","","","","","","","","","","10/04/2016||15/11/2016||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||","","","","","","Cartes bancaires##Chèques bancaires et postaux##Chèques Vacances"
"FUNSHINE","Complexe de loisirs##Foot en salle##Jeux pour enfants##Labyrinthe##Mini golf##Paintball##Salle de remise en forme##Terrain omnisports","","","","9 bis la Morinière ","85280","LA FERRIERE","","85089","[ 46.7002372 , -1.3450169]","46.7002372","-1.3450169","Gare SNCF||LA ROCHE SUR YON||7##Autoroute||A 87||4##Route (nationale/départ.)||D160||0,1","A l'abri","06 14 50 82 06","02 51 98 42 86","","contact@funshine.fr","http://www.funshine.fr/","Facebook||https://www.facebook.com/complexefunshine","Espace jeux##WiFi","Aire de pique nique##Bar##Restaurant##Salle de projection##Salle de réunion équipée##Toilettes","non","","","","oui","","","","","Anglais##Français","","oui","","","","Français","Français##Anglais","","oui","","","","","","","","oui","","||02 51 98 42 86||contact@funshine.fr","","","Tarif indiv. enfant||||||5€ pour 1h ;8€ accès illimité sur la journée;Vous avez accès à toutes les activités (sauf bubble et paintball en supplément)##Tarif indiv. adulte||||||7€ pour 1h ;10€ accès illimité sur la journée;Vous avez accès à toutes les activités (sauf bubble et paintball en supplément)","non","Cartes bancaires##Chèques bancaires et postaux##Chèques Vacances"
"FÉDÉRATION DE LA MAYENNE POUR LA PÊCHE ET LA PROTECTION DU MILIEU AQUATIQUE","Lac de pêche","","","78, rue Emile Brault","","53000","LAVAL","","53130","[ 48.0707717 , -0.7980342]","48.0707717","-0.7980342","","","","02 43 69 12 13","","peche.mayenne@wanadoo.fr","www.fedepeche53.com","","","","oui","","","","oui","","","","","Français","","","","","","","","","","","","","","","","","oui","","","","","","",""
"GECKOLAND","Jeux pour enfants##Parc à thèmes","86 rue Henri Gautier","","","","44600","SAINT-NAZAIRE","","44184","[ 47.2803678 , -2.2034859]","47.2803678","-2.2034859","Gare SNCF||||0,95##Transport en commun||Ligne U2 - Arrêt: Europe||","","06 11 75 65 40","","","geckoland@orange.fr","https://www.geckoland.fr/","Facebook||https://www.facebook.com/GeckoLand44/","Espace jeux##WiFi","Bar","","","","","","","","","","Français","","","","","","","","","","","","","","","","","oui","||||Ouvert tous les jours pendant les vacances scolaires; et les mercredis, vendredis et week-end/jours feriés hors vacances scolaires||Fermé le lundi, mardi et jeudi hors vacances scolaires; Fermé uniquement le lundi pendant les vacances d'été||||||||||||||||||||||||||||||||||||||||||||||||||||||||","||06 11 75 65 40||geckoland@orange.fr","","","Tarif indiv. enfant||6,5||8,9||6,50 € : enfants de moins de 90 cm;8,90 € : enfants de 90 cm et plus;;Formule anniversaire : 10 € / enfant##||||||Gratuit pour les adultes (1 adulte obligatoire);Carte 10 entrées pour les enfants de moins de 90 cm : 55 €;Carte 10 entrées pour les enfants de plus de 90 cm : 68 €","non",""
"GLISSEVOLUTION","Base de paddle##Base ou club nautique","","","Port de plaisance","","44380","PORNICHET","","44132","[ 47.25858 , -2.34598]","47.25858","-2.34598","","","","02 40 11 94 76","","basenautique@glissevolution.com","http://www.glissevolution.com","","","Restaurant","","","","","","","","","","Anglais##Espagnol","","","","","","","","","","","","","","","","","oui","01/01/2017||31/12/2017||||||10:00||||||19:00||10:00||||||19:00||10:00||||||19:00||10:00||||||19:00||10:00||||||19:00||10:00||||||19:00||10:00||||||19:00##01/04/2017||31/10/2017||||||10:00||||||19:00||10:00||||||19:00||10:00||||||19:00||10:00||||||19:00||10:00||||||19:00||10:00||||||19:00||10:00||||||19:00","","","","","","Cartes bancaires##Chèques bancaires et postaux##Chèques Vacances"
"GLISSÉO PATINOIRES","Patinoire","","","Avenue Anatole Manceau","","49300","CHOLET","","49099","[ 47.05319 , -0.87839]","47.05319","-0.87839","","","","02 41 71 64 20","","info@glisseo.com","http://www.glisseo.com","","","","","","","","oui","","","","","Anglais##Français","","","","","","","","","","","","","","","","","","01/01/2016||24/07/2016||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||##16/08/2016||31/08/2016||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||##07/09/2016||31/12/2016||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||##02/01/2018||30/04/2018||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||##02/05/2018||13/07/2018||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||##15/07/2018||21/07/2018||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||##16/08/2018||24/12/2018||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||##26/12/2018||30/12/2018||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||","","","","","","Cartes bancaires##Chèques bancaires et postaux"
"GLISSÉO PISCINES","Piscine##Salle de remise en forme","","","Avenue Anatole Manceau","","49300","CHOLET","","49099","[ 47.05318 , -0.87883]","47.05318","-0.87883","","","","02 41 71 64 20","","info@glisseo.com","http://www.glisseo.com","","","","","","","","oui","","","","","Français","","","","","","","","","","","","","","","","","","01/01/2016||31/12/2016||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||##02/01/2018||30/04/2018||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||##02/05/2018||13/07/2018||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||##15/07/2018||21/07/2018||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||##16/08/2018||24/12/2018||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||##26/12/2018||30/12/2018||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||","","","","","","Cartes bancaires##Chèques bancaires et postaux"
"GOG'ANE","Formules itinérantes","","","BOISSAY","SAINT-REMY-LA-VARENNE","49250","BRISSAC LOIRE AUBANCE","","49050","[ 47.390961 , -0.301829]","47.390961","-0.301829","Route (nationale/départ.)||D55||4##Autoroute||A87 sortie n°23||20##Aéroport/aérodrome||Angers Marcé||30","","06 82 15 02 26","02 41 45 21 25","","gog-ane@terre-net.fr","http://www.aufildumohair-gogane.fr","Facebook||https://www.facebook.com/FermeGogAne","","","oui","avec carnet de santé et vaccins à jour","","","oui","","","","","Français","","","","","","","","","","","","","","","","","non","10/02/2018||30/11/2018||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||","BRILHAULT Marie-France ||06 82 15 02 26||gog-ane@terre-net.fr","","","Formule famille||31||||Tarifs à l'âne selon la durée et le nombre d'âne.","non","Chèques bancaires et postaux##Chèques Vacances"
"GOLF","Golf","","","Avenue des Pays de Loire","","85160","SAINT-JEAN-DE-MONTS","","85234","[ 46.79418 , -2.0915]","46.79418","-2.0915","Autoroute||||##Aéroport/aérodrome||||##Gare routière||||##Héliport||||##||||##||||##Bord de mer||||##Bord de mer||||","","","02 51 58 82 73","","accueil@golfsaintjeandemonts.fr","http://www.golfsaintjeandemonts.fr","Facebook||www.facebook.com/pages/Golf-Saint-Jean-de-Monts/165960803534228","Boutique","Bar##Restaurant##Salle de réunion équipée##Toilettes","","","Welcome ! C’est beau ici !","","","","","","","Anglais","","","","","","","","","","","","","","","","","","01/01/2017||31/12/2017||basse saison 9h-18h. Fermé les 25 décembre et 1er janvier||||08:00||||||19:00||08:00||||||19:00||08:00||||||19:00||08:00||||||19:00||08:00||||||19:00||08:00||||||19:00||08:00||||||19:00","","","","","","Cartes bancaires##Chèques bancaires et postaux"
"GOLF 18 TROUS ET ACADÉMIE DE GOLF DE GUÉRANDE","Golf","","","Route de Bréhadour","La Ville Blanche","44350","GUERANDE","","44069","[ 47.30602 , -2.40863]","47.30602","-2.40863","","","","02 40 66 43 21","02 40 66 67 98","contact@golfdeguerande.com","http://www.golfdeguerande.com","","","Restaurant","oui","","","","","","","","","Anglais","","","","","","","","","","","","","","","","","oui","02/01/2017||31/12/2017||||||09:00||||||18:00||09:00||||||18:00||09:00||||||18:00||09:00||||||18:00||09:00||||||18:00||09:00||||||18:00||09:00||||||18:00##01/07/2017||31/08/2017||||||08:00||||||20:00||08:00||||||20:00||08:00||||||20:00||08:00||||||20:00||08:00||||||20:00||08:00||||||20:00||08:00||||||20:00##02/01/2018||31/12/2018||||||09:00||||||18:00||09:00||||||18:00||09:00||||||18:00||09:00||||||18:00||09:00||||||18:00||09:00||||||18:00||09:00||||||18:00##01/07/2018||31/08/2018||||||08:00||||||20:00||08:00||||||20:00||08:00||||||20:00||08:00||||||20:00||08:00||||||20:00||08:00||||||20:00||08:00||||||20:00##25/12/2018||25/12/2018||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||","","","","","","Cartes bancaires##Chèques bancaires et postaux"
"GOLF BLUE GREEN LES FONTENELLES","Activités sportives","","","Direction Coëx - D6","","85220","L'AIGUILLON-SUR-VIE","","85002","[ 46.672861 , -1.829273]","46.672861","-1.829273","","","","02.51.54.13.94","","fontenelles@bluegreen.com","http://www.fontenelles.bluegreen.com","","","","oui","Animaux autorisés sur le parcours en laisse uniquement ","","","oui","","","Golf","","Anglais##Français","","","","","","","","","","","","","","","","","oui","02/01/2018||28/02/2018||||FERMETURE LE 1ER JANVIER 2018||09:30||12:30||13:30||16:30||09:30||12:30||13:30||16:30||09:30||12:30||13:30||16:30||09:30||12:30||13:30||16:30||09:30||12:30||13:30||16:30||09:30||12:30||13:30||16:30||09:30||12:30||13:30||16:30##01/03/2018||31/03/2018||||||09:00||12:30||13:30||17:00||09:00||12:30||13:30||17:00||09:00||12:30||13:30||17:00||09:00||12:30||13:30||17:00||09:00||12:30||13:30||17:00||09:00||12:30||13:30||17:00||09:00||12:30||13:30||17:00##01/04/2018||30/04/2018||||||09:00||12:30||13:30||17:30||09:00||12:30||13:30||17:30||09:00||12:30||13:30||17:30||09:00||12:30||13:30||17:30||09:00||12:30||13:30||17:30||09:00||12:30||13:30||17:30||09:00||12:30||13:30||17:30##01/05/2018||31/05/2018||||||09:00||12:30||13:30||18:00||09:00||12:30||13:30||18:00||09:00||12:30||13:30||18:00||09:00||12:30||13:30||18:00||09:00||12:30||13:30||18:00||09:00||12:30||13:30||18:00||09:00||12:30||13:30||18:00##01/06/2018||30/06/2018||||||08:30||12:30||13:30||18:30||08:30||12:30||13:30||18:30||08:30||12:30||13:30||18:30||08:30||12:30||13:30||18:30||08:30||12:30||13:30||18:30||08:30||12:30||13:30||18:30||08:30||12:30||13:30||18:30##01/07/2018||31/08/2018||||||08:00||12:30||13:30||19:30||08:00||12:30||13:30||19:30||08:00||12:30||13:30||19:30||08:00||12:30||13:30||19:30||08:00||12:30||13:30||19:30||08:00||12:30||13:30||19:30||08:00||12:30||13:30||19:30##01/09/2018||30/09/2018||||||08:30||12:30||13:30||18:30||08:30||12:30||13:30||18:30||08:30||12:30||13:30||18:30||08:30||12:30||13:30||18:30||08:30||12:30||13:30||18:30||08:30||12:30||13:30||18:30||08:30||12:30||13:30||18:30##01/10/2018||31/10/2018||||||09:00||12:30||13:30||17:30||09:00||12:30||13:30||17:30||09:00||12:30||13:30||17:30||09:00||12:30||13:30||17:30||09:00||12:30||13:30||17:30||09:00||12:30||13:30||17:30||09:00||12:30||13:30||17:30##01/11/2018||31/12/2018||||FERMETURE DE L'ACCUEIL A 15H LE 24 ET 31 DECEMBRE - FERMETURE LE 25 DECEMBRE||09:30||12:30||13:30||16:30||09:30||12:30||13:30||16:30||09:30||12:30||13:30||16:30||09:30||12:30||13:30||16:30||09:30||12:30||13:30||16:30||09:30||12:30||13:30||16:30||09:30||12:30||13:30||16:30","","","","","","Cartes bancaires##Chèques Vacances"
"GOLF BLUE GREEN PORT BOURGENAY","Golf","","","Avenue de la Mine","","85440","TALMONT-SAINT-HILAIRE","","85288","[ 46.4450631 , -1.6803048]","46.4450631","-1.6803048","","","","02 51 23 35 45","","portbourgenay@bluegreen.com","http://port-bourgenay.bluegreen.com","","Boutique","Bar##Restaurant##Toilettes","oui","","Famille Plus","","oui","","","","","Français","","","","","","","","","","","","","","","","","oui","01/01/2017||31/12/2017||Ouvert tous les jours de 9h à 18h.||Fermé le 25 décembre et le 1er janvier.||||||||||||||||||||||||||||||||||||||||||||||||||||||||","||02 51 23 35 45||portbourgenay@bluegreen.com","","","Tarif indiv. adulte||||||Découverte de 2h : 20€","non","Cartes bancaires##Chèques Vacances"
"GOLF D'ANGERS","Golf","","","Moulin de Pistrait","SAINT-JEAN-DES-MAUVRETS","49320","LES GARENNES SUR LOIRE","","49167","[ 47.4034 , -0.45356]","47.4034","-0.45356","Route (nationale/départ.)||D751||0,5##Gare SNCF||Angers Saint-Laud||15##Aéroport/aérodrome||Angers-Marcé||30##Autoroute||A87, sortie n°23||10","","","02 41 91 96 56","02 41 54 60 80","golf.angers@wanadoo.fr","http://www.golfangers.com","Facebook||https://www.facebook.com/golfangers/","","Bar##Restaurant##Salle de projection##Salle de réunion équipée","oui","","","","oui","","","","","Anglais##Français","","","","","","Français","Français##Anglais","","","","","","","","","","oui","01/01/2017||28/02/2017||||||09:00||12:00||13:00||17:00||09:00||12:00||13:00||17:00||09:00||12:00||13:00||17:00||09:00||12:00||13:00||17:00||09:00||12:00||13:00||17:00||09:00||12:00||13:00||17:00||09:00||12:00||13:00||17:00##01/03/2017||31/03/2017||||||08:30||12:00||13:00||18:00||08:30||12:00||13:00||18:00||08:30||12:00||13:00||18:00||08:30||12:00||13:00||18:00||08:30||12:00||13:00||18:00||08:30||12:00||13:00||18:00||08:30||12:00||13:00||18:00##01/04/2017||30/04/2017||||||08:00||12:00||13:00||19:00||08:00||12:00||13:00||19:00||08:00||12:00||13:00||19:00||08:00||12:00||13:00||19:00||08:00||12:00||13:00||19:00||08:00||12:00||13:00||19:00||08:00||12:00||13:00||19:00##01/05/2017||31/08/2017||||||08:00||12:00||13:00||19:30||08:00||12:00||13:00||19:30||08:00||12:00||13:00||19:30||08:00||12:00||13:00||19:30||08:00||12:00||13:00||19:30||08:00||12:00||13:00||19:30||08:00||12:00||13:00||19:30##01/09/2017||30/09/2017||||||08:00||12:00||13:00||19:00||08:00||12:00||13:00||19:00||08:00||12:00||13:00||19:00||08:00||12:00||13:00||19:00||08:00||12:00||13:00||19:00||08:00||12:00||13:00||19:00||08:00||12:00||13:00||19:00##01/10/2017||31/10/2017||||||08:30||12:00||13:00||18:00||08:30||12:00||13:00||18:00||08:30||12:00||13:00||18:00||08:30||12:00||13:00||18:00||08:30||12:00||13:00||18:00||08:30||12:00||13:00||18:00||08:30||12:00||13:00||18:00##01/11/2017||31/12/2017||||||09:00||12:00||13:00||17:00||09:00||12:00||13:00||17:00||09:00||12:00||13:00||17:00||09:00||12:00||13:00||17:00||09:00||12:00||13:00||17:00||09:00||12:00||13:00||17:00||09:00||12:00||13:00||17:00","Sylvie BREGEON||02 41 91 96 56||","","","","","Cartes bancaires##Chèques bancaires et postaux"
"GOLF D'AVRILLÉ BLUE GREEN","Golf","","","Route de Cantenay Épinard","Château de la Perrière","49240","AVRILLE","","49015","[ 47.50855 , -0.57882]","47.50855","-0.57882","","","","02 41 69 22 50","02 41 34 44 60","avrille@bluegreen.com","http://www.bluegreen.com/avrille","","","","","","","","oui","","","","","Anglais##Espagnol##Français","","","","","","","","","","","","","","","","","","02/01/2018||31/01/2018||||||09:00||||||17:00||09:00||||||17:00||09:00||||||17:00||09:00||||||17:00||09:00||||||17:00||09:00||||||17:00||09:00||||||17:00##01/02/2018||31/05/2018||||||09:00||||||18:00||09:00||||||18:00||09:00||||||18:00||09:00||||||18:00||09:00||||||18:00||09:00||||||18:00||09:00||||||18:00##01/06/2018||30/09/2018||||||08:30||||||19:30||08:30||||||19:30||08:30||||||19:30||08:30||||||19:30||08:30||||||19:30||08:30||||||19:30||08:30||||||19:30##01/10/2018||31/12/2018||Fermé les 25 décembre et 1 janvier||||09:00||||||18:00||09:00||||||18:00||09:00||||||18:00||09:00||||||18:00||09:00||||||18:00||09:00||||||18:00||09:00||||||18:00","","","","Tarif indiv. adulte||20||52||","","Cartes bancaires##Chèques bancaires et postaux##Chèques Vacances"
"GOLF DE BAUGE-PONTIGNE","Activités sportives","Route de Tours","","Domaine des Bordes","Baugé","49150","BAUGE-EN-ANJOU","","49018","[ 47.5422587 , -0.0759955]","47.5422587","-0.0759955","Route (nationale/départ.)||D766, sortie Baugé Est||0##Autoroute||||15##Aéroport/aérodrome||Aéroport Angers Loire Métropole||15##Gare SNCF||Angers||38","","","02 41 89 01 27","","golf.bauge@wanadoo.fr","http://www.golf-bauge.fr","","","","oui","tenus en laisse","","","oui","Cours","","Golf","","Anglais","","","","","","","","","","","","","","Baugé en Anjou","BAUGE EN ANJOU","BAUGE EN ANJOU","oui","01/01/2018||31/12/2018||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||","","","","Tarif indiv. adulte||52||||Parcours 18 trous","","Cartes bancaires##Chèques bancaires et postaux"
"GOLF DE BAUGE-PONTIGNE","Golf","Route de Tours","","Domaine des Bordes","Baugé","49150","BAUGE-EN-ANJOU","","49018","[ 47.5419979 , -0.0755663]","47.5419979","-0.0755663","Route (nationale/départ.)||D766, sortie Baugé Est||0##Autoroute||||15##Aéroport/aérodrome||Angers-Marcé||15##Gare SNCF||Angers||38","","","02 41 89 01 27","","golf.bauge@wanadoo.fr","http://www.golf-bauge.fr","Tripadvisor||","","Bar##Restaurant##Toilettes","oui","tenus en laisse","","","oui","","","","","Anglais","","","","","","","","","","","","","","","","","oui","01/01/2017||31/12/2017||||fermé les 25/12 et 1er/01||||||||||||||||||||||||||||||||||||||||||||||||||||||||","","","","Tarif indiv. adulte||||||Green Fees 9 Trous","non","Cartes bancaires##Chèques bancaires et postaux"
"GOLF DE GUÉRANDE - PARCOURS 18 TROUS CENTRE D'ENTRAINEMENT ET ECOLE DE GOLF","Golf","","","Route de Bréhadour","La Ville Blanche","44350","GUERANDE","","44069","[ 47.35031 , -2.40987]","47.35031","-2.40987","","","","02 40 66 43 21","02 40 66 67 98","accueil@golfdeguerande.com","http://www.golfdeguerande.com","","","Restaurant","oui","","","","","","","","","Anglais","","","","","","","","","","","","","","","","","oui","||||||||09:00||||||18:00||09:00||||||18:00||09:00||||||18:00||09:00||||||18:00||09:00||||||18:00||09:00||||||18:00||09:00||||||18:00##25/12/2016||25/12/2016||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||##01/01/2017||01/01/2017||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||","","","","","","Cartes bancaires##Chèques bancaires et postaux"
"GOLF DE L'ÎLE D'OR","Golf##Golf","","","","Ile Dorelle - LA VARENNE","49270","OREE D'ANJOU","","49069","[ 47.3254352 , -1.3218058]","47.3254352","-1.3218058","","","","02 40 98 58 00","","nantesiledor@wanadoo.fr","http://www.golfdenantesiledor.com","Tripadvisor||https://www.tripadvisor.fr/Attraction_Review-g1236226-d1918949-Reviews-Golf_de_l_Ile_d_Or-Saint_Remy_la_Varenne_Maine_et_Loire_Pays_de_la_Loire.html","WiFi","Bar##Restaurant##Toilettes","","","","","oui","","","","","Anglais","","","","","","Français","Français","","","","","","","","","","oui","02/01/2017||31/12/2017||||Fermé le 25/12 et 1/17||||||||||||||||||||||||||||||||||||||||||||||||||||||||##02/01/2018||24/12/2018||||Fermé le 25/12 et 1/01||||||||||||||||||||||||||||||||||||||||||||||||||||||||##26/12/2018||31/12/2018||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||","||02 40 98 58 00||nantesiledor@wanadoo.fr","","","Tarif indiv. adulte||10||28||##Tarif indiv. adulte||40||40||Formule découverte (initiation+ déjeuner+découverte sur le green)##Tarif indiv. enfant||5||30||##Tarif groupe adulte||||||sur demande","non","Cartes bancaires##Chèques bancaires et postaux"
"GOLF DE NANTES - VIGNEUX","Golf","","","Route départementale 81 ","lieu dit la Bernardière","44360","VIGNEUX-DE-BRETAGNE","","44217","[ 47.3269286 , -1.7380705]","47.3269286","-1.7380705","Gare SNCF||Centre de Nantes||20","","","02 40 63 25 82","02 40 63 64 86","golfclubdenantes@aol.com","http://www.golfclubdenantes.com","Facebook||https://www.facebook.com/pages/Golf-de-Nantes/192556277496867","Boutique##WiFi","Bar##Restaurant##Salle de réunion équipée##Toilettes","non","","","","oui","","","","","Anglais##Français","","non","","non","non","Français","Français##Anglais","","non","non","non","non","","","","","oui","","Golf ||02 40 63 25 82||","","","Tarif indiv. adulte||36||67||Tarif individuel 18 trous. Nous consulter pour plus d'informations","non","Cartes bancaires##Chèques bancaires et postaux##Tickets Restaurant"
"GOLF DE SABLE - SOLESMES","Activités sportives","Route de Pincé","","Domaine de l'Outinière","","72300","SABLE-SUR-SARTHE","","72264","[ 47.8190377 , -0.336767]","47.8190377","-0.336767","Autoroute||A11||15##Aéroport/aérodrome||Angers||30##Gare SNCF||Sablé sur Sarthe||5##Héliport||sur site||0##Halte fluviale||sur site||0","","","02 43 95 28 78","02 43 92 39 05","golf-sable-solesmes@wanadoo.fr","https://www.golf-sable-solesmes.com","","","","non","Acceptés dans l'établissement et non sur le parcours","","","oui","","","Golf","","Anglais##Russe","","","","","","","","","","","","","","","","","oui","01/01/2017||31/12/2017||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||##01/01/2018||31/12/2018||||25 décembre et 1er janvier||||||||||||||||||||||||||||||||||||||||||||||||||||||||","","","","||||||Suivant le parcours et la saison##Tarif indiv. adulte||58||||##Tarif indiv. enfant||30||||","non","Cartes bancaires"
"GOLF DE SABLE - SOLESMES","Boulodrome##Golf","Route de Pincé","","Domaine de l'Outinière","","72300","SABLE-SUR-SARTHE","","72264","[ 47.8174554 , -0.3609655]","47.8174554","-0.3609655","Autoroute||||15##Aéroport/aérodrome||Angers||30##Gare SNCF||Sablé sur Sarthe||5##Héliport||sur site||0##Halte fluviale||||0","En extérieur soleil","","02 43 95 28 78","02 43 92 39 05","golf-sable-solesmes@wanadoo.fr","","","Boutique##WiFi","Bar##Restaurant##Salle de réunion équipée","oui","interdit sur le parcours","","","oui","","","","","Anglais","","","","","","","","","","","","","","","","","","01/01/2017||31/12/2017||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||##01/01/2018||31/12/2018||||25 décembre et 1er janvier||08:30||||||17:30||08:30||||||17:30||08:30||||||17:30||08:30||||||17:30||08:30||||||17:30||08:30||||||17:30||08:30||||||17:30","","","","Tarif indiv. adulte|||||| suivant le Parcours 9, 18 ou 27 trous##Tarif indiv. enfant||||||Suivant le parcours","","Cartes bancaires##Chèques bancaires et postaux"
